Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Company
1,05-02-2010,1643690.9,No,42.31,2.572,211.0963582,8.106,Walmart
1,12-02-2010,1641957.44,Yes,38.51,2.548,211.2421698,8.106,Walmart
1,19-02-2010,1611968.17,No,39.93,2.514,211.2891429,8.106,Walmart
1,26-02-2010,1409727.59,No,5000.63,2.561,211.3196429,8.106,Walmart
1,05-03-2010,1554806.68,No,46.5,2000.625,211.3501429,8.106,Walmart
1,12-03-2010,1439541.59,No,57.79,2.667,211.3806429,8.106,Walmart
1,19-03-2010,1472515.79,No,54.58,2.72,211.215635,8.106,Walmart
1,26-03-2010,1404429.92,No,51.45,2.732,211.0180424,8.106,Walmart
1,02-04-2010,1594968.28,No,62.27,2.719,210.8204499,7.808,Walmart
1,09-04-2010,1545418.53,No,65.86,2.77,210.6228574,7.808,Walmart
1,16-04-2010,1466058.28,No,66.32,2.808,210.4887,7.808,Walmart
1,23-04-2010,1391256.12,No,64.84,2.795,210.4391228,7.808,Walmart
1,30-04-2010,1425100.71,No,,2.78,210.3895456,7.808,Walmart
1,07-05-2010,1603955.12,No,72.55,2.835,210.3399684,7.808,Walmart
1,14-05-2010,1494251.5,No,74.78,2.854,210.3374261,7.808,Walmart
1,21-05-2010,1399662.07,No,76.44,2.826,2100000.617,7.808,Walmart
1,28-05-2010,1432069.95,No,80.44,2.759,210.8967606,7.808,Walmart
1,04-06-2010,1615524.71,No,80.69,2.705,211.1764278,7.808,Walmart
1,11-06-2010,1542561.09,No,80.43,2.668,211.4560951,,Walmart
1,18-06-2010,1503284.06,No,84.11,2.637,211.4537719,7.808,Walmart
1,25-06-2010,1422711.6,No,84.34,2.653,211.3386526,7.808,Walmart
1,02-07-2010,1492418.14,No,80.91,2.669,211.2235333,7.787,Walmart
1,09-07-2010,1546074.18,No,80.48,2.642,211.108414,7.787,Walmart
1,16-04-2010,1466058.28,,66.32,2.808,210.4887,7.808,Walmart
1,09-07-2010,1546074.18,No,80.48,2.642,211.108414,7.787,Walmart
1,02-04-2010,1594968.28,No,62.27,2.719,210.8204499,7.808,Walmart
1,23-07-2010,1385065.2,No,83.36,,211.2351443,7.787,
1,30-07-2010,1371986.6,No,81.84,2.64,211.3699032,7.787,Walmart
1,06-08-2010,1605491.78,No,87.16,2.627,,7.787,Walmart
1,13-08-2010,1508237.76,No,87,2.692,211.6394211,7.787,Walmart
1,20-08-2010,1513080.49,No,86.65,2.664,211.6033633,7.787,Walmart
1,27-08-2010,1449142.92,No,85.22,2.619,211.5673056,7.787,Walmart
1,03-09-2010,1540163.53,No,81.21,2.577,211.5312479,7.787,Walmart
1,10-09-2010,1507460.69,Yes,78.69,2.565,211.4951902,7.787,Walmart
1,17-09-2010,1430378.67,No,82.11,2.582,211.5224596,7.787,Walmart
1,24-09-2010,1351791.03,No,80.94,2.624,211.5972246,7.787,Walmart
1,01-10-2010,1453329.5,No,71.89,2.603,211.6719895,7.838,Walmart
1,08-10-2010,1508239.93,No,63.93,2.633,211.7467544,7.838,Walmart
1,15-10-2010,1459409.1,No,67.18,2.72,211.8137436,7.838,Walmart
1,22-10-2010,1345454,No,69.86,2.725,211.8612937,7.838,Walmart
1,29-10-2010,1384209.22,No,69.64,2.716,211.9088438,7.838,Walmart
1,05-11-2010,1551659.28,No,58.74,2.689,211.9563939,7.838,Walmart
1,12-11-2010,1494479.49,No,59.61,2.728,212.003944,7.838,Walmart
1,19-11-2010,1483784.18,No,51.41,2.771,211.8896737,7.838,Walmart
1,26-11-2010,1955624.11,Yes,64.52,2.735,211.7484333,7.838,Walmart
1,03-12-2010,1548033.78,No,49.27,2.708,211.607193,7.838,Walmart
1,10-12-2010,1682614.26,No,46.33,2.843,211.4659526,7.838,Walmart
1,17-12-2010,1891034.93,No,49.84,2.869,211.4053124,7.838,Walmart
